,id,context,question,answers
31,31,obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
32,32,obélix ! astérix ! vite !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
33,33,obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
34,34,"tu te sens pas mieux, obélix ?",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [22]}"
35,35,astérix ! obélix ! devinez qui nous rend visite.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [10]}"
36,36,"- je sais pas, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [15]}"
37,37,obélix ! tu viens de me donner une idée !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
38,38,obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
39,39,obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
40,40,obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
41,41,parce que monsieur obélix a joué les bébés et qu'il est parti - bouder !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [19]}"
42,42,va chercher astérix et obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [23]}"
43,43,- obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [2]}"
44,44,- obélix ?,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [2]}"
45,45,"- c'est par là, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [16]}"
46,46,"- hé, obélix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [6]}"
47,47,parce que môssieur obélix a joué les gros bébés et a boudé.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [19]}"
48,48,obélix est son favori.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
49,49,"obélix à raison, pense à irina.",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
50,50,"obélix va t'aider t'entraîner au pugilat,",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
51,51,"et ben t'as qu'a les donner les conseils, puisque môssieur obélix est tellement malin!",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [59]}"
52,52,"astérix, obélix mes amis...",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [9]}"
53,53,"karl, dis à obélix que je vais la tuer.",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [12]}"
54,54,obélix vous trouvera une solution.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
55,55,- obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [2]}"
56,56,obélix viendra tout casser.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
57,57,je dois aller libérer obélix et panoramix.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [22]}"
58,58,je dois aller libérer obélix et panoramix.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [22]}"
59,59,obélix rit.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
60,60,"eh, astérix et obélix sont de retour.",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [15]}"
61,61,"astérix, obélix et panoramix !",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [9]}"
62,62,astérix ! obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [10]}"
63,63,astérix et obélix ne devraient plus quitter le village.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [11]}"
64,64,– obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [2]}"
65,65,obélix ! astérix ! vite !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [0]}"
66,66,astérix ! obélix ! devinez qui nous rend visite.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [10]}"
67,67,va chercher astérix et obélix !,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [23]}"
68,68,"astérix, obélix mes amis...",obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [9]}"
69,69,mannekenpix finit par sortir en pleurs car obélix a tout mangé et il n'y a strictement plus rien dans la cuisine.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [43]}"
70,70,1970 : le mur de l’atlantique de marcel camus : un colonel ss. 1998 : le dîner de cons de francis veber : un joueur de golf 1999 : astérix et obélix contre césar : de claude zidi : ourix 2005 : brice de nice (film) de james huth : le chef de la police.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [142]}"
71,71,1970 : le mur de l’atlantique de marcel camus : un colonel ss. 1998 : le dîner de cons de francis veber : un joueur de golf 1999 : astérix et obélix contre césar : de claude zidi : ourix 2005 : brice de nice (film) de james huth : le chef de la police.,obelix,"{""text"": [""ob\u00e9lix""], ""answer_start"": [142]}"
72,72,réparkrass,fendmender,"{""text"": [""r\u00e9parkrass""], ""answer_start"": [0]}"
73,73,balayur,dustbrawler,"{""text"": [""balayur""], ""answer_start"": [0]}"
74,74,tic,klink,"{""text"": [""tic""], ""answer_start"": [0]}"
75,75,"tout ce que je dis, c'est que robert barone a mille raisons d'avoir un tic nerveux.",klink,"{""text"": [""tic""], ""answer_start"": [71]}"
76,76,"sur internet, la sécurité des paiements estrenforcée, et il est aujourd’hui possible de voter ou de remplir sa déclaration d’impôts en ligne.d’autres exemples récents d’innovations montrent combien les tic peuvent faciliter la vie demillions d’européens: la biométrie est sollicitée pour les vérifications d’identité, les appareilsélectroniques détectent la pollution de l’air, les tic assistent les personnes handicapées, latélévision à écran plat est de plus en plus répandue et la sécurité des réseaux de transport estrenforcée grâce au guidage par satellite.",klink,"{""text"": [""tic""], ""answer_start"": [202]}"
77,77,"pour une couverture complète de ce sujet, voir i – premier rapport annuel sur la société européenne de l’information, com(), ..an econometric analysis of the impact of the ebusiness readiness indicators on labour productivity growth (analyse économétrique de l’impact des indicateurs de la disponibilité des aaires électroniques sur la croissance de la productivité du travail) – commission européenne (), centre commun de recherche (unité d’économétrie de l’ipsc) : l’analyse est faite sur des chires issus de la base de données stan de l’ocde et de l’enquête d’eurostat sur l’utilisation des tic dans les entreprises.",klink,"{""text"": [""tic""], ""answer_start"": [594]}"
78,78,"institutions éligibles l'action minerva s'adresse à toutes les institutions ­et aux organismes­ qui travaillent dans le domaine des tic et de l'eod, notamment : ■ aux centres de ressources et autres organismes possédant une expérience dans le domaine des «tic dans l'éducation» et/ou de l'eod.",klink,"{""text"": [""tic""], ""answer_start"": [132]}"
79,79,"il faut cependant noter que les erreurs sur le taux de rendement interne sont négligeables, car le coût du ca­pital pour les tic est dominé par les mouvements des prix de ces technologies et l'amortissement.",klink,"{""text"": [""tic""], ""answer_start"": [125]}"
80,80,"chaque taximètre doit porter sur la face de lecture ou sur une plaquette scellée, facilement visibles et lisibles dans les conditions normales d'installation, les indications suivantes : a) le nom cl l'adresse du fabricant ou s.t marque ; b) la désignation du modèle de l'instrument, son numéro et l'année de fabrication ; c) le signe d'approbation cee tic modèle ; d) sa constante k (indiquée avec une imprécision relative .111 plus égale à 0,2 %).",klink,"{""text"": [""tic""], ""answer_start"": [353]}"
81,81,"ces avantages profiteront à toutes les technologique et économique, comme les tic et entreprises européennes, riches ou pauvres, et les sciences de la vie.",klink,"{""text"": [""tic""], ""answer_start"": [78]}"
82,82,"tilisation des tic dans les entre­prises, les organisations et la société en général.",klink,"{""text"": [""tic""], ""answer_start"": [15]}"
83,83,"cela facilite l’intégration de services répondant à un éventail particulièrement large de défisengendrés par une économie moderne, allant de l’utilisation effective des tic àune meilleure compréhension de l’importance de la mise en réseau ou de l’impact potentiel de la comptabilité des aspects intangibles des activités d’uneentreprise.",klink,"{""text"": [""tic""], ""answer_start"": [67]}"
84,84,"m. liikanen a salué les initiatives déjà encours au niveau national en parallèle au plan d’action eeurope. a titre d’exemple, l’initiative allemande d21 vise à encourager l’utilisation des tic dans l’ob-jectifd’accroîtrelacompétitivité,lacroissance et l’emploi.",klink,"{""text"": [""tic""], ""answer_start"": [189]}"
85,85,"en revanche, pour les cas d'aide qui tomberont dans le champ d'appli­cation de l'article 92. paragraphe i. du traité, il esl nécessaire tic circonscrire les entreprises poten­tiellement éligibles aux présenles dispositions afin que les éventuelles distorsions de concurrence et affectations îles échanges intracommunautaires demeurent à un niveau qui ne soil pas contraire à l'intérêt commun.",klink,"{""text"": [""tic""], ""answer_start"": [83]}"
86,86,celte lettre comporte en annexe une liste des pays pouvant bénéficier d'une aide au titre tic l'article 4. paragraphe 7. de la directive (annexe i) et une liste des pays ayant un pavillon de com plaisance (annexe ii).,klink,"{""text"": [""tic""], ""answer_start"": [90]}"
87,87,"pour pouvoir bénéficier tic l'aide, la durée de vie des installations existantes devra encore être suffisamment longue (25 'a au moins).",klink,"{""text"": [""tic""], ""answer_start"": [24]}"
88,88,"pour que les politiques relatives aux tic puissent être couronnées de succès dans les pvd, il faut, avant tout, accroître les efforts en vue de garantir le droit d'accès universel à l'éducation et à la formation.",klink,"{""text"": [""tic""], ""answer_start"": [38]}"
89,89,"quatre secteurs sont admissibles à un soutien du fonds fiduciaire : (i) l’énergie ; (ii) les transports (ferroviaire, routier, aérien, maritime et fluvial) ; (iii) l’eau, et (iv) les technologies de l’information, ou tic (y compris les infrastructures de télé-communication, lorsque le projet financé ouvre l’accès à un service d’intérêt économique général).",klink,"{""text"": [""tic""], ""answer_start"": [217]}"
90,90,dépenses dans le domaine des tic en pourcentage du pib en prix courants (%) les dépenses de tic en pourcentage du pib sont définies comme les dépenses en matière de technologies de l'information et des,klink,"{""text"": [""tic""], ""answer_start"": [29]}"
91,91,"la sortie tic signaux fournit une réac­tion électrique continue à la sonde du détec­teur, et assure l'équilibre entre les forces mé­caniques d'arrivée, ce qui élimine les imprécisions et permet de détecter les chan­gements les plus infinies.",klink,"{""text"": [""tic""], ""answer_start"": [10]}"
92,92,"comi94) 557 final proposition modifiée de décision du conseil relative à la signature du 'traité sur la charte européenne de l'energie et à son application provisoire par la communauté européenne (présentée par la commission conformément à l'article 189 a, paragraphe 2 du traité ce) proposition modifiée de décision du conseil relative à la signature du 'traité sur la charte européenne de l'energie et à son application provisoire par la communauté européenne tic l'énergie atomique (présentée par la commission conformément à l'article 119, alinéa 2 du traité ceea) 28.11.1994-7 p.",klink,"{""text"": [""tic""], ""answer_start"": [244]}"
93,93,cet aspect fondamental du processus actuel de mondialisation est fortement accentué par la disponibilité des tic et leur capacité à abolir les distances.,klink,"{""text"": [""tic""], ""answer_start"": [109]}"
94,94,"• en effet, les tic pourraient permettre une évolution structurelle vers des produits et des services consommant moins de ressources, vers des économies d'énergie dans les bâtiments et les réseaux d'électricité ainsi que vers des systèmes de transport intelligents plus efficaces et plus sobres en énergie.",klink,"{""text"": [""tic""], ""answer_start"": [16]}"
95,95,"toutefois, l’analyse montre également que les activités de lutte contre la fracture numérique sont toujours majoritairement incluses dans des politiques nationales, bien que leur importance relative dière grandement d’un pays à l’autre. en général, plus l’infrastructure nationale de tic est sophistiquée et plus la « saturation en matériel de tic » est importante, plus un pays est susceptible d’adapter ses activités en faveur d’un meilleur accès en fonction des facteurs d’exclusion et d’étudier la viabilité du développement de nouveaux modes technologiques d’accès.",klink,"{""text"": [""tic""], ""answer_start"": [284]}"
96,96,"en ce qui concerne la répartition par secteur, en 2001, 59,6 % des demandes de brevets tic provenant de l'ue ont été déposées dans la section technique de la communication électrique (qui inclut des champs tels que la communication téléphonique, la radiodiffusion ou la télévision), 32,6 % dans la",klink,"{""text"": [""tic""], ""answer_start"": [87]}"
97,97,"section c: industries extractives section d: industrie manufacturière section e: production et distribution d'électricité, de gaz et d'eau section f: construction section g: commerce section h: hôtels et restaurants section i: transports et communications section j: activités financières section k (hors 74.15): immobilier, location et services aux entreprises industrie manufacturière tic: divisions 30 and 32 et groupes 31.3, 33.2 et 33.3 services tic: vente de gros tic, consultance tic et groupe 64.2 vente de gros tic: classes 51.43, 51.64 et 51.65 consultance tic: classe 71.33 et division 72",klink,"{""text"": [""tic""], ""answer_start"": [387]}"
98,98,"s’agissant de cet objectif, certains secteurs bénéficieront d’un traitement prioritaire: les tic et les appareils électriques, les produits cosmétiques, les appareils médicaux, les médicaments et le secteur automobile.",klink,"{""text"": [""tic""], ""answer_start"": [93]}"
99,99,"soucieux d’augmenter le nombre d’utilisateurs des tic et de promouvoir la r & d, le gouvernement a prisdes initiatives qui devraient bientôt donner des résultats. le faible niveau des dépenses publiques et privées en faveur de la r & d et le nombre relativement modestede demandes de brevet constituent des handicaps majeurs par rapport aux autres états membres. les dépenses publiques d’éducation sont inférieures à la moyenne del’ue, et le niveau scolaire est faible. enfin, la réglementation applicable aux pme demeure relativement complexe, ce qui peut contribuer à expliquer les délais et les fraisimportants qu’implique la création d’une entreprise. dans ce contexte, l’espagne devrait privilégier les objectifs suivants: i)continuer la politique visant à garantir un niveau comparable pour les opérateurs du secteur des télécommunications et de l’énergie, à réduire la part demarché des opérateurs historiques de façon à améliorer la concurrence effective dans ces secteurs, et à encourager les entrées sur le marché de l’électricitéaux entreprises; ii)continuer de prendre des mesures pour qu’une concurrence effective s’exercedans le secteur du commerce de détail; iii)accentuer ses efforts pour augmenter la main-d’œuvre qualifiée, encourager laparticipation des entreprises à la r & d et à l’innovation et améliorer la diffusiondes tic; iv)poursuivre la stratégie visant à réduire les contraintes administratives pesant surles entreprises, y compris les délais et les frais liés à l’enregistrement d’une nouvelle société. espagne",klink,"{""text"": [""tic""], ""answer_start"": [50]}"
100,100,"d'accroître ses efforts en vue d'augmenter le réservoir de main œuvre qualifiée, l'investissement en r & d et l'innovation et la diffusion des tic (og 13); etde continuer à prendre des mesures pour renforcer la concurrence dans certains secteurs,notamment le commerce de détail (og 9), poursuivre les efforts en cours pour réduire lefardeau administratif pesant sur les entreprises et suivre de près l'évolution de la situation surle marché de l'électricité (og 11).",klink,"{""text"": [""tic""], ""answer_start"": [143]}"
101,101,"en collaboration avec plus d'une vingtaine d'universités et d'éta­blissements d'enseignement technique à travers toute l'europe, le consortium career space a élaboré un nouveau guide pour le développement de programmes de formation pour permettre aux futurs diplômés en tic de maîtriser l'ère de l'information.",klink,"{""text"": [""tic""], ""answer_start"": [270]}"
102,102,les besoins de l’industrie des tic..................................................................................163.1.de nouveaux programmes de formation aux tic sont nécessaires..............................163.2.combiner des éléments d’électrotechnique et d’informatique......................................163.3.une ample perspective systémique est nécessaire.........................................................173.4.des connaissances en gestion sont requises..................................................................173.5.de nouvelles compétences comportementales sont requises........................................183.6.renforcement de la mobilité entre l’enseignement supérieur et l’entreprise................193.7.récapitulation des besoins de l’industrie......................................................................214.,klink,"{""text"": [""tic""], ""answer_start"": [31]}"
103,103,"eu égard à ces antécédents, il n’est guère surprenant que l’industrie des tic telle qu’elleexiste actuellement soit pour une bonne part issue d’entreprises du secteur del’électrotechnique.",klink,"{""text"": [""tic""], ""answer_start"": [74]}"
104,104,"làencore, les structures universitaires peuvent parfois entraver l’adoption de cursusinterdisciplinaires de formation aux tic novateurs intégrant ces éléments.",klink,"{""text"": [""tic""], ""answer_start"": [122]}"
105,105,"de ce point de vue, les tic sont en marge deschangements éducatifs et sont considérées comme un thème et un outilpotentiellement capables d’humaniser, de libérer et de motiver.",klink,"{""text"": [""tic""], ""answer_start"": [24]}"
106,106,"de telles affirmations s’appuient sur les descriptions des changements qu’ont connus la société, les lieux de travail et la vie elle-même depuis l’avènement, l’évolution des tic et l’enracinement de leur présenceet de leur utilité dans pratiquement tout domaine de l’activité humaine.la technologie est au cœur des transformations sociales, culturelles etéconomiques auxquelles nous assistons, mais elle incarne aussi l’une descauses principales de ces changements et de ces transformations.",klink,"{""text"": [""tic""], ""answer_start"": [174]}"
107,107,"les dépenses et les investissements conséquents qui ont été consentis afin d’équiper les établissements scolaires de tic et d’apprendreaux éducateurs à les exploiter se justifient de deux points de vue: socioéconomique, d’une part, et pédagogique, d’autre part.",klink,"{""text"": [""tic""], ""answer_start"": [117]}"
108,108,"une autre explication est le manque de personnel et le souci constant tic la rentabilité, difficile à atteindre avec ties marges aussi serrées, qui pousse parfois à de grossières négligences. pour les hypermarchés,",klink,"{""text"": [""tic""], ""answer_start"": [70]}"
109,109,"scies a main, lames tic scies de toutes sones (y compris les fraiscs-teie« et le» lames non dentées pour le sciage) ex 82.04",klink,"{""text"": [""tic""], ""answer_start"": [20]}"
110,110,"eddie bayers - batterie stuart duncan - violon paul franklin - steel guitar, slide guitar steve gibson - guitare acoustique , guitare électrique , guitare acoustique hi-string liane manis - choeurs brent mason - guitare acoustique, guitare électrique matt rollings - piano george strait - voix principale glenn worf - guitare basse , tic tac bass curtis young - choeurs",klink,"{""text"": [""tic""], ""answer_start"": [334]}"
111,111,vigidente,dimflight,"{""text"": [""vigidente""], ""answer_start"": [0]}"
112,112,fermite,durant,"{""text"": [""fermite""], ""answer_start"": [0]}"
113,113,otaria,seel,"{""text"": [""otaria""], ""answer_start"": [0]}"
114,114,dragmara,aurorus,"{""text"": [""dragmara""], ""answer_start"": [0]}"
115,115,aflamanoir,heatmor,"{""text"": [""aflamanoir""], ""answer_start"": [0]}"
116,116,pyronille,larvesta,"{""text"": [""pyronille""], ""answer_start"": [0]}"
117,117,amonistar,omastar,"{""text"": [""amonistar""], ""answer_start"": [0]}"
118,118,spododo,morelull,"{""text"": [""spododo""], ""answer_start"": [0]}"
119,119,lugulabre,chandelure,"{""text"": [""lugulabre""], ""answer_start"": [0]}"
120,120,chrysapile,charjabug,"{""text"": [""chrysapile""], ""answer_start"": [0]}"
121,121,neitram,beheeyem,"{""text"": [""neitram""], ""answer_start"": [0]}"
122,122,ventreureu,gladgut,"{""text"": [""ventreureu""], ""answer_start"": [0]}"
123,123,croâporal,frogadier,"{""text"": [""cro\u00e2poral""], ""answer_start"": [0]}"
124,124,lainergie,flaaffy,"{""text"": [""lainergie""], ""answer_start"": [0]}"
125,125,calmeffroi redoutable,hushbogle,"{""text"": [""calmeffroi""], ""answer_start"": [0]}"
126,126,calmeffroi des gorges,hushbogle,"{""text"": [""calmeffroi""], ""answer_start"": [0]}"
127,127,calmeffroi,hushbogle,"{""text"": [""calmeffroi""], ""answer_start"": [0]}"
128,128,calmeffroi redoutable,hushbogle,"{""text"": [""calmeffroi""], ""answer_start"": [0]}"
129,129,calmeffroi des gorges,hushbogle,"{""text"": [""calmeffroi""], ""answer_start"": [0]}"
130,130,calmeffroi,hushbogle,"{""text"": [""calmeffroi""], ""answer_start"": [0]}"
131,131,"scum est un futur mode multijoueur en ligne de jeu de survie, développé par le studio croate gamepires, produit par croteam et publié par devolver digital.[1] le jeu est décrit comme un ""jeu de survie anti-émeute en prison""[2] , et comportera un monde ouvert.[3][4] il est entré au programme de l'accès anticipé steam , le 29 août 2018, avec une sortie complète prévue en 2019.[5][6] , le jeu utilisera l'unreal engine 4.[7]",devolver,"{""text"": [""devolver""], ""answer_start"": [138]}"
132,132,fall guys: ultimate knockout est un jeu vidéo multijoueur développé par mediatonic et publié par devolver digital.,devolver,"{""text"": [""devolver""], ""answer_start"": [97]}"
133,133,shadow warrior 3 est un futur jeu de tir à la première personne développé par flying wild hog et édité par devolver digital.,devolver,"{""text"": [""devolver""], ""answer_start"": [107]}"
134,134,moyade,jellicent,"{""text"": [""moyade""], ""answer_start"": [0]}"
135,135,brutalibré,hawlucha,"{""text"": [""brutalibr\u00e9""], ""answer_start"": [0]}"
136,136,machoc,machop,"{""text"": [""machoc""], ""answer_start"": [0]}"
137,137,lançargot,escavalier,"{""text"": [""lan\u00e7argot""], ""answer_start"": [0]}"
138,138,vifagile,ruffrunner,"{""text"": [""vifagile""], ""answer_start"": [0]}"
139,139,mimiqui,mimikyu,"{""text"": [""mimiqui""], ""answer_start"": [0]}"
140,140,métamorph-os,boneshedder,"{""text"": [""m\u00e9tamorph-os""], ""answer_start"": [0]}"
141,141,flamajou,pansear,"{""text"": [""flamajou""], ""answer_start"": [0]}"
142,142,feurisson,quilava,"{""text"": [""feurisson""], ""answer_start"": [0]}"
143,143,pingoléon,empoleon,"{""text"": [""pingol\u00e9on""], ""answer_start"": [0]}"
144,144,rapasdepic,fearow,"{""text"": [""rapasdepic""], ""answer_start"": [0]}"
145,145,chimpenfeu,monferno,"{""text"": [""chimpenfeu""], ""answer_start"": [0]}"
146,146,dinoclier,shieldon,"{""text"": [""dinoclier""], ""answer_start"": [0]}"
147,147,kaorine,claydol,"{""text"": [""kaorine""], ""answer_start"": [0]}"
148,148,cupcanaille,slurpuff,"{""text"": [""cupcanaille""], ""answer_start"": [0]}"
149,149,arrozard,drizzile,"{""text"": [""arrozard""], ""answer_start"": [0]}"
150,150,ténéfix,sableye,"{""text"": [""t\u00e9n\u00e9fix""], ""answer_start"": [0]}"
151,151,denticrisse,bruxish,"{""text"": [""denticrisse""], ""answer_start"": [0]}"
152,152,flingouste,clauncher,"{""text"": [""flingouste""], ""answer_start"": [0]}"
153,153,gobou,mudkip,"{""text"": [""gobou""], ""answer_start"": [0]}"
154,154,arcanin,arcanine,"{""text"": [""arcanin""], ""answer_start"": [0]}"
155,155,mascaïman,sandile,"{""text"": [""masca\u00efman""], ""answer_start"": [0]}"
156,156,scrutella,gothita,"{""text"": [""scrutella""], ""answer_start"": [0]}"
157,157,pandarbare,pangoro,"{""text"": [""pandarbare""], ""answer_start"": [0]}"
158,158,zéroïd,nihilego,"{""text"": [""z\u00e9ro\u00efd""], ""answer_start"": [0]}"
159,159,gardebois,copsekeep,"{""text"": [""gardebois""], ""answer_start"": [0]}"
160,160,araqua,dewpider,"{""text"": [""araqua""], ""answer_start"": [0]}"
161,161,picassaut,pikipek,"{""text"": [""picassaut""], ""answer_start"": [0]}"
162,162,volcaropod,magcargo,"{""text"": [""volcaropod""], ""answer_start"": [0]}"
163,163,dolman,stonjourner,"{""text"": [""dolman""], ""answer_start"": [0]}"
164,164,trioxhydre,hydreigon,"{""text"": [""trioxhydre""], ""answer_start"": [0]}"
165,165,vipélierre,snivy,"{""text"": [""vip\u00e9lierre""], ""answer_start"": [0]}"
166,166,cadoizo,delibird,"{""text"": [""cadoizo""], ""answer_start"": [0]}"
167,167,colossinge,primeape,"{""text"": [""colossinge""], ""answer_start"": [0]}"
168,168,dimoret,weavile,"{""text"": [""dimoret""], ""answer_start"": [0]}"
169,169,dracuivre,coppertop,"{""text"": [""dracuivre""], ""answer_start"": [0]}"
170,170,fulgudog,boltund,"{""text"": [""fulgudog""], ""answer_start"": [0]}"
171,171,charibari,cufant,"{""text"": [""charibari""], ""answer_start"": [0]}"
172,172,"ensuite, à m. ronald weasley... pour la plus belle partie d'échecs... que poudlard ait connue depuis des années... 50 points.",hogwarts,"{""text"": [""poudlard""], ""answer_start"": [74]}"
173,173,poudlard a été fondé il y a plus de mille ans... par les quatre plus grands magiciens et sorcières de l'époque...,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
174,174,des choses horribles vont survenir à poudlard !,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [37]}"
175,175,poudlard ne va pas fermer ?,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
176,176,poudlard se doit d'éliminer la chose qui a tué leur fille.,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
177,177,poudlard n'est rien sans vous.,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
178,178,bienvenue pour une nouvelle année à poudlard !,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [36]}"
179,179,"pour finir sur une note plus sombre, à la demande du ministère de la magie, poudlard devra, jusqu'à nouvel ordre, accueillir les détraqueurs d'azkaban, en attendant la capture de sirius black.",hogwarts,"{""text"": [""poudlard""], ""answer_start"": [76]}"
180,180,il va pas venir à poudlard ?,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [18]}"
181,181,poudlard a été choisi...,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
182,182,poudlard a été choisi pour accueillir un événement légendaire.,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
183,183,poudlard n'est plus sûr.,hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
184,184,"poudlard, poudlard, gros pou, poudlard",hogwarts,"{""text"": [""poudlard""], ""answer_start"": [0]}"
